Block name,block type,auto_up,mirror,target point x,target point y,target point z,intrim,outtrim,sidetrim,short name,Service,is_elevation,colour,independent value
PP-BUTTERFLY VALVE CH E,butterfly valve,,NO,25430.06,10008.35,0,,,,,chiller,YES,black,
PP-BALL VALVE CH E,ball valve,,NO,0,0,0,78.51,67.68,,,chiller,YES,black,
PP-Y STRAINER CH MIRROR,y-strainer ,,YES,24323.35,9347.16,0,151.39,37.94,,,chiller,,black,
PP-GLOBE VALVE CH E,globe valve ,,NO,25368.52,8899.5,0,,,,,chiller,YES,black,
PP-FLOW SWITCH CH MIRROR,flow switch,,YES,24289.31,7873.42,0,94.45,94.45,,,chiller,,black,
PP-3WAY MOTORIZED,3way motorized,,NO,22935.15,5033.1,0,46.26,46.26,,,chiller,,black,
PP-2WAY MOTORIZED,2way motorized,,NO,22935.15,5369.47,0,46.26,46.26,,,chiller,,black,
PP-AUTOMATIC AIR VENT VALVE WS,automatic air vent valve,,NO,4762.94,4184.38,0,46.26,46.26,,,watersupply,,blue,YES
PP-WATER LVL,water lvl controller,,NO,4707.96,3855.51,0,37.5,37.5,,,watersupply,,blue,YES
PP-SPSINGLETWS,sp single tee,,NO,0,0,0,87.82,94.45,94.45,,watersupply,,blue,YES
PP-SPSINGLETSP,sp single tee,,NO,-42.5,0,0,87.82,94.45,94.45,,sprinkler,,red,
PP-FAN P,fan 48'',,,29596.31,13506.86,0,,,,,plan,,,YES
PP-ROUND CEILING LIGHT,round ceiling light,,,29767.51,13594.41,0,,,,,plan,,,YES
PP-SQUARE LIGHT P,square ceiling light,,,29578.19,13214.18,0,,,,,plan,,,YES
PP-WALL LIGHT P,wall light,,,29482.29,12616.35,0,,,,,plan,,,YES
PP-AC P,ac,,,29477.32,11762.18,0,,,,,plan,,,YES
PP-TUBE P,tubelight,,,29551.63,11300.32,0,,,,,plan,,,YES
PP-WALL FAN P,wall fan,,,29374.45,11431.63,0,,,,,plan,,,YES
PP- MIRROR LIGHT P,mirror light,,,29466.58,10821.96,0,,,,,plan,,,YES
PP-SWITCH BOARD P,switchboard,,,29365.96,10887.33,0,,,,,plan,,,YES
